Concept Id,CPT Code,Clinician Descriptor Id,Clinician Descriptor
1002798,00100,10000002,Anesthesia for procedure on salivary gland with biopsy
1002799,00102,10000003,Anesthesia for plastic repair of cleft lip
1002800,00103,10000004,Anesthesia for reconstruction of eyelid
1002801,00104,10000005,Anesthesia for electroconvulsive therapy
1002803,00120,10000006,Anesthesia for procedure on external ear with biopsy
1002803,00120,10000007,Anesthesia for procedure on inner ear with biopsy
1002803,00120,10000008,Anesthesia for procedure on middle ear with biopsy
1002803,00120,10024427,Anesthesia for procedure on external ear
1002803,00120,10024428,Anesthesia for procedure on inner ear
1002803,00120,10024429,Anesthesia for procedure on middle ear
1002804,00124,10000009,Anesthesia for otoscopy
1002804,00124,10024430,Anesthesia for otoscopy with biopsy
1002805,00126,10000010,Anesthesia for tympanotomy
1002807,00140,10000011,Anesthesia for procedure on eye
1002808,00142,10000012,Anesthesia for surgery of lens of eye
1002809,00144,10000013,Anesthesia for corneal transplant
1002810,00145,10000014,Anesthesia for vitreoretinal surgery
1002811,00147,10000015,Anesthesia for iridectomy
1002812,00148,10000016,Anesthesia for ophthalmoscopy
1002814,00160,10000017,Anesthesia for procedure on nose and accessory sinus
1002815,00162,10000018,Anesthesia for radical surgery of nose and accessory sinus
1002816,00164,10000019,Anesthesia for procedure on nose and accessory sinus with biopsy of soft tissue
1002818,00170,10000020,Anesthesia for intraoral procedure with biopsy
1002818,00170,10024431,Anesthesia for intraoral procedure
1002819,00172,10024432,Anesthesia for repair of cleft palate
1002820,00174,10024433,Anesthesia for excision of retropharyngeal tumor
1002821,00176,10024434,Anesthesia for radical intraoral surgery
1002823,00190,10000024,Anesthesia for procedure on facial bone
1002823,00190,10000025,Anesthesia for procedure on skull
1002824,00192,10000026,Anesthesia for radical surgery on facial bone
1002824,00192,10000027,Anesthesia for radical surgery on skull
1002824,00192,10024435,Anesthesia for radical surgery for prognathism
1002826,00210,10000028,Anesthesia for intracranial procedure
1019367,00211,10000029,Anesthesia for craniectomy for evacuation of hematoma
1019367,00211,10000030,Anesthesia for craniotomy for evacuation of hematoma
1002827,00212,10000031,Anesthesia for subdural tap
1002828,00214,10024436,Anesthesia for intracranial burr holes
1002828,00214,10024437,Anesthesia for intracranial burr holes for ventriculography
1002829,00215,10000033,Anesthesia for cranioplasty
1002829,00215,10000034,Anesthesia for extradural elevation of depressed skull fracture
1002829,00215,10024438,Anesthesia for extradural elevation of depressed compound skull fracture
1002829,00215,10024439,Anesthesia for extradural elevation of depressed simple skull fracture
1002830,00216,10000035,Anesthesia for intracranial vascular procedure
1002831,00218,10000036,Anesthesia for intracranial procedure in sitting position
1002832,00220,10024440,Anesthesia for intracranial cerebrospinal fluid shunting procedure
1002833,00222,10000038,Anesthesia for electrocoagulation of intracranial nerve
1002835,00300,10024441,Anesthesia for procedure on integumentary system of head
1002835,00300,10024442,Anesthesia for procedure on integumentary system of neck
1002835,00300,10024443,Anesthesia for procedure on integumentary system of posterior trunk
1002835,00300,10024444,"Anesthesia for procedure on muscle and nerve of head, neck, and/or posterior trunk"
1002835,00300,10024445,Anesthesia for procedure on muscle of head
1002835,00300,10024446,Anesthesia for procedure on muscle of neck
1002835,00300,10024447,Anesthesia for procedure on muscle of posterior trunk
1002835,00300,10024448,Anesthesia for procedure on nerve of head
1002835,00300,10024449,Anesthesia for procedure on nerve of neck
1002835,00300,10024450,Anesthesia for procedure on nerve of posterior trunk
1002837,00320,10000040,"Anesthesia for procedure on esophagus, thyroid, larynx, trachea and lymphatic system of neck"
1002837,00320,10000041,Anesthesia for procedure on larynx
1002837,00320,10000042,Anesthesia for procedure on lymphatic system of neck
1002837,00320,10000043,Anesthesia for procedure on thyroid
1002837,00320,10000044,Anesthesia for procedure on trachea
1002837,00320,10024451,Anesthesia for procedure on esophagus
1002838,00322,10000045,Anesthesia for needle biopsy of thyroid
1002840,00326,10000046,Anesthesia for procedure on larynx and trachea
1002840,00326,10024452,Anesthesia for procedure on larynx
1002840,00326,10024453,Anesthesia for procedure on trachea
1002842,00350,10000047,Anesthesia for procedure of major vessel of neck
1002843,00352,10024454,Anesthesia for ligation of major blood vessel of neck
1002846,00400,10000049,"Anesthesia for procedure on integumentary system of extremities, anterior trunk and perineum"
1002846,00400,10024455,Anesthesia for procedure on integumentary system of anterior trunk
1002846,00400,10024456,Anesthesia for procedure on integumentary system of extremity
1002846,00400,10024457,Anesthesia for procedure on integumentary system of perineum
1002847,00402,10000050,Anesthesia for reconstructive procedure on breast
1002847,00402,10024458,Anesthesia for augmentation mammoplasty
1002847,00402,10024459,Anesthesia for mammoplasty using muscle flaps
1002847,00402,10024460,Anesthesia for reduction mammoplasty
1002848,00404,10000051,Anesthesia for modified radical procedure on breast
1002848,00404,10000052,Anesthesia for radical procedure on breast
1002849,00406,10000053,Anesthesia for modified radical procedure on breast with internal mammary node dissection
1002849,00406,10000054,Anesthesia for radical procedure on breast with internal mammary node dissection
1002850,00410,10024461,Anesthesia for electrical conversion of arrhythmia
1002852,00450,10000056,Anesthesia for procedure on clavicle and scapula
1002852,00450,10024462,Anesthesia for procedure on clavicle
1002852,00450,10024463,Anesthesia for procedure on scapula
1002854,00454,10000058,Anesthesia for biopsy of clavicle
1002856,00470,10000059,Anesthesia for partial rib resection
1002857,00472,10000060,Anesthesia for partial rib resection with thoracoplasty
1002858,00474,10000061,Anesthesia for radical partial rib resection
1002858,00474,10024464,Anesthesia for radical partial rib resection for pectus excavatum
1002860,00500,10000062,Anesthesia for procedure on esophagus
1002862,00520,10000063,Anesthesia for procedure on chest
1002862,00520,10024465,Anesthesia for bronchoscopy
1002862,00520,10024466,Anesthesia for closed procedure on chest
1002863,00522,10000064,Anesthesia for needle biopsy of pleura
1002864,00524,10000065,Anesthesia for pneumocentesis
1002865,00528,10000066,Anesthesia for mediastinoscopy and diagnostic thoracoscopy
1002866,00529,10024467,Anesthesia for diagnostic thoracoscopy with one-lung ventilation
1002866,00529,10024468,Anesthesia for mediastinoscopy and diagnostic thoracoscopy with one-lung ventilation
1002866,00529,10024469,Anesthesia for mediastinoscopy with one-lung ventilation
1002867,00530,10024470,Anesthesia for insertion of transvenous permanent pacemaker
1002868,00532,10000069,Anesthesia for access to central venous circulation
1002869,00534,10000070,Anesthesia for transvenous insertion of pacing cardioverter-defibrillator
1002869,00534,10000071,Anesthesia for transvenous replacement of pacing cardioverter-defibrillator
1002870,00537,10000072,Anesthesia for electrophysiologic procedure of heart
1002870,00537,10024471,Anesthesia for radiofrequency ablation procedure of heart
1002871,00539,10000073,Anesthesia for tracheobronchial reconstruction
1002873,00540,10000074,Anesthesia for thoracotomy
1002873,00540,10024472,Anesthesia for surgical thoracoscopy
1002874,00541,10024473,Anesthesia for thoracotomy with one-lung ventilation
1002875,00542,10000076,Anesthesia for thoracotomy
1002875,00542,10024474,Anesthesia for thoracotomy with decortication
1002876,00546,10024475,Anesthesia for thoracotomy with pulmonary resection and thoracoplasty
1002877,00548,10000078,Anesthesia for thoracotomy and intrathoracic procedure on trachea and bronchi
1002878,00550,10000079,Anesthesia for sternal debridement
1002880,00560,10000080,"Anesthesia for procedure on heart, pericardial sac, and great vessels of chest"
1002880,00560,10024476,Anesthesia for procedure on great vessel of chest
1002880,00560,10024477,Anesthesia for procedure on heart
1002880,00560,10024478,"Anesthesia for procedure on heart, pericardial sac, and great vessels of chest without pump oxygenator"
1002880,00560,10024479,Anesthesia for procedure on pericardial sac
1002881,00561,10000081,"Anesthesia for procedure on heart, pericardial sac, and great vessels of chest with pump oxygenator"
1002882,00562,10000082,"Anesthesia for procedure on heart, pericardial sac, and great vessels of chest with pump oxygenator"
1002882,00562,10024480,Anesthesia for procedure on heart valve
1002882,00562,10024481,Anesthesia for reoperation for coronary bypass
